sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
SOLB018,12,1.0,44,1.0,0.083333333,0.001893939
SOLB019,12,0.95,77,1.052631579,0.087719298,0.001139212
SOLB020,2,10.0,52,0.1,0.05,0.000961538
SOLB021,12,0.9,77,1.111111111,0.092592593,0.001202501
SOLB022,4,5.0,44,0.2,0.05,0.001136364
SOLB023,12,0.95,77,1.052631579,0.087719298,0.001139212
SOLB024,4,5.0,44,0.2,0.05,0.001136364
SOLB025,2,10.0,52,0.1,0.05,0.000961538
SOLB026,12,0.95,77,1.052631579,0.087719298,0.001139212
SOLB031,21,0.25,143,4.0,0.19047619,0.001332001
SOLB032,21,0.25,143,4.0,0.19047619,0.001332001
